cust_no,firstname,lastname,email,city,phonenumber
1,John,Doe,johndoe@example.com,New York,(555) 123-4567
2,Jane,Smith,janesmith@example.com,Los Angeles,(555) 987-6543
3,Alice,Johnson,alicejohnson@example.com,Chicago,(555) 456-7890
4,Michael,Williams,michaelwilliams@example.com,Houston,(555) 789-0123
5,Emily,Brown,emilybrown@example.com,Miami,(555) 234-5678
6,James,Jackson,jamesjackson@example.com,San Francisco,(555) 890-1234
7,Sarah,Anderson,sarahanderson@example.com,Seattle,(555) 345-6789
8,David,Martin,davidmartin@example.com,Boston,(555) 901-2345
9,Emma,Thompson,emmathompson@example.com,Atlanta,(555) 678-9012
10,Christopher,White,christopherwhite@example.com,Dallas,(555) 123-4567
11,Olivia,Miller,oliviamiller@example.com,Phoenix,(555) 987-6543
12,Liam,Davis,liamdavis@example.com,Philadelphia,(555) 456-7890
13,Isabella,Garcia,isabellagarcia@example.com,San Antonio,(555) 789-0123
14,Mason,Rodriguez,masonrodriguez@example.com,San Diego,(555) 234-5678
15,Elizabeth,Martinez,elizabethmartinez@example.com,Detroit,(555) 890-1234
16,Elijah,Hernandez,elijahhernandez@example.com,Dallas,(555) 345-6789
17,Amelia,Lopez,amelialopez@example.com,Indianapolis,(555) 901-2345
18,Alexander,Gonzalez,alexandergonzalez@example.com,San Jose,(555) 678-9012
19,Sophia,Wilson,sophiawilson@example.com,Jacksonville,(555) 123-4567
20,William,Anderson,williamanderson@example.com,San Francisco,(555) 987-6543
21,Abigail,Taylor,abigailtaylor@example.com,Austin,(555) 456-7890
22,Jameson,Thomas,jamesonthomas@example.com,Columbus,(555) 789-0123
23,Madison,Hernandez,madisonhernandez@example.com,Charlotte,(555) 234-5678
24,Charlotte,Moore,charlottemoore@example.com,San Antonio,(555) 890-1234
25,Noah,Martin,noahmartin@example.com,El Paso,(555) 345-6789
26,Ella,Lee,ellalee@example.com,Memphis,(555) 901-2345
27,Benjamin,Perez,benjaminperez@example.com,Boston,(555) 678-9012
28,Avery,Martinez,averymartinez@example.com,Seattle,(555) 123-4567
29,Scarlett,Gonzalez,scarlettgonzalez@example.com,Baltimore,(555) 987-6543
30,Lucas,Evans,lucasevans@example.com,San Francisco,(555) 456-7890
31,Chloe,Gomez,chloegomez@example.com,Denver,(555) 789-0123
32,Lily,Reyes,lilyreyes@example.com,Nashville,(555) 234-5678
33,Grayson,Wood,graysonwood@example.com,Oklahoma City,(555) 890-1234
34,Lincoln,Collins,lincolncollins@example.com,Portland,(555) 345-6789
35,Zoey,Jones,zoeyjones@example.com,Las Vegas,(555) 901-2345
36,Levi,Hall,levihall@example.com,Louisville,(555) 678-9012
37,Hannah,Kelly,hannahkelly@example.com,Milwaukee,(555) 123-4567
38,Evelyn,Gonzalez,evelyngonzalez@example.com,Albuquerque,(555) 987-6543
39,Jackson,Harris,jacksonharris@example.com,Fresno,(555) 456-7890
40,Victoria,Clark,victoriaclark@example.com,Sacramento,(555) 789-0123
41,Michaela,Murphy,michaelamurphy@example.com,Long Beach,(555) 234-5678
42,Nathaniel,Young,nathanielyoung@example.com,Kansas City,(555) 890-1234
43,Madelyn,Turner,madelynturner@example.com,Mesa,(555) 345-6789
44,Joseph,Wright,josephwright@example.com,Atlanta,(555) 901-2345
